usedcarskuid,loc,myear,body,transmission,fuel,km,ip,images,imgcount,threesixty,dvn,oem,model,variant,city,listed_price,discountvalue,utype,cartype,top_features,comfort_features,interior_features,exterior_features,safety_features,color,engine type,no of cylinder,valves per cylinder,valve configuration,turbo charger,super charger,length,width,height,wheel base,front tread,rear tread,kerb weight,gross weight,gear box,drive type,seats,steering type,turning radius,front brake type,rear brake type,top speed,acceleration,tyre type,doors,cargo volume,model_type_new,state,exterior_color,owner_type,fuel suppy system,compression ratio,alloy wheel size,max power delivered,max power at,max torque delivered,max torque at,bore,car_age,km_per_year,log_price,oem_target_enc,model_target_enc,city_target_enc,oem_freq_enc,model_freq_enc,city_freq_enc,brand_age,km_per_year_age,power_weight_ratio,predicted_price,residual
8d61cf62-ac13-4016-ab57-a87949deeeca,ashok vihar,2017,hatchback,automatic,electric,20000.0,0,[{'img': 'https://images10.gaadi.com/usedcar_image/original/used_car_2708964_1677385707.jpg?imwidth=640'}],35,False,mini cooper se electric,mini,mini cooper se,electric,new delhi,3690000.0,0,dealer,partner,"['power steering', 'power windows front', 'air conditioner', 'heater', 'adjustable head lights', 'fog lights front', 'anti lock braking system', 'brake assist', 'radio']","['power steering', 'power windows front', 'power windows rear', 'air quality control', 'low fuel warning light', 'accessory power outlet', 'trunk light', 'vanity mirror', 'rear reading lamp', 'rear seat headrest', 'rear seat centre arm rest', 'height adjustable front seat belts', 'cup holders front', 'cup holders rear', 'seat lumbar support', 'multifunction steering wheel', 'cruise control', 'rear acvents', 'navigation system', 'engine start stop button', 'glove box cooling', 'voice control', 'steering mounted tripmeter', 'tailgate ajar', 'gear shift indicator']","['air conditioner', 'heater', 'adjustable steering', 'digital odometer', 'tachometer', 'electronic multi tripmeter', 'leather seats', 'leather steering wheel', 'glove compartment', 'digital clock', 'cigarette lighter', 'rear folding table', 'driving experience control eco', 'height adjustable driver seat', 'dual tone dashboard', 'leather wrap gear shift selector']","['adjustable head lights', 'fog lights front', 'fog lights rear', 'power adjustable exterior rear view mirror', 'electric folding rear view mirror', 'rain sensing wiper', 'rear window wiper', 'rear window washer', 'alloy wheels', 'integrated antenna', 'rear spoiler', 'sun roof', 'moon roof', 'chrome grille', 'chrome garnish', 'heated wing mirror', 'dual tone body colour', 'leddrls', 'ledheadlights', 'ledtaillights', 'ledfog lamps']","['anti lock braking system', 'brake assist', 'centeral locking', 'power door locks', 'child safety locks', 'anti theft alarm', 'driver air bag', 'passenger air bag', 'side air bag front', 'day night rear view mirror', 'passenger side rear view mirror', 'rear seat belts', 'seat belt warning', 'door ajar warning', 'side impact beams', 'front impact beams', 'vehicle stability control system', 'adjustable seats', 'keyless entry', 'tyre pressure monitor', 'crash sensor', 'automatic head lamps', 'ebd', 'follow me home headlamps', 'rear camera', 'anti theft device', 'anti pinch power windows', 'speed sensing auto door lock']",red,unknown,4.0,,,True,True,3995.0,1710.0,1530.0,2520.0,1485.0,1493.0,1066.0,1595.0,,unknown,4.0,unknown,5.1,unknown,unknown,168.56,7.3,unknown,5.0,211.0,used,delhi,red,first,,,17.0,181.03,5500.0,270.0,1000.0,73.0,8,2499.9968750039066,15.121137287019383,14.498771321898365,13.515256351787615,13.327129113968489,29,1,4969,115.99017057518692,19999.975000031252,0.1698217636022514,2826013.6870301454,863986.3129698555
503ecd27-6e00-4aaa-b30e-5435f0e56340,mahadevapura,2016,sedan,automatic,electric,79281.0,0,[{'img': 'https://images10.gaadi.com/usedcar_image/original/usedcar_195_727151676633783_1676633804.jpg?imwidth=640'}],15,False,toyota camry hybrid,toyota,toyota camry,hybrid,bangalore,1666000.0,0,dealer,corporate,"['power steering', 'power windows front', 'air conditioner', 'heater', 'adjustable head lights', 'fog lights front', 'anti lock braking system', 'brake assist', 'cd player']","['power steering', 'power windows front', 'power windows rear', 'remote trunk opener', 'remote fuel lid opener', 'low fuel warning light', 'accessory power outlet', 'trunk light', 'vanity mirror', 'rear reading lamp', 'rear seat headrest', 'rear seat centre arm rest', 'cup holders front', 'cup holders rear', 'seat lumbar support', 'multifunction steering wheel', 'cruise control', 'rear acvents', 'smart access card entry', 'engine start stop button']","['air conditioner', 'heater', 'adjustable steering', 'digital odometer', 'tachometer', 'electronic multi tripmeter', 'leather seats', 'leather steering wheel', 'glove compartment', 'digital clock', 'cigarette lighter', 'driving experience control eco', 'height adjustable driver seat']","['adjustable head lights', 'fog lights front', 'fog lights rear', 'power adjustable exterior rear view mirror', 'electric folding rear view mirror', 'rain sensing wiper', 'rear window defogger', 'alloy wheels', 'integrated antenna', 'outside rear view mirror turn indicators', 'chrome grille']","['anti lock braking system', 'brake assist', 'centeral locking', 'power door locks', 'child safety locks', 'anti theft alarm', 'driver air bag', 'passenger air bag', 'side air bag front', 'day night rear view mirror', 'passenger side rear view mirror', 'halogen headlamps', 'rear seat belts', 'seat belt warning', 'door ajar warning', 'side impact beams', 'front impact beams', 'vehicle stability control system', 'traction control', 'adjustable seats', 'keyless entry', 'centrally mounted fuel tank', 'engine immobilizer', 'crash sensor', 'automatic head lamps', 'ebd', 'rear camera', 'anti theft device']",black,2ar-fxe petrol engine,4.0,4.0,dohc,False,False,4850.0,1825.0,1480.0,2775.0,1580.0,1570.0,1635.0,2100.0,6 speed,fwd,5.0,power,5.5,ventilated disc,disc,200.0,10.8,tubeless radial,4.0,436.0,used,karnataka,black,second,Electronic Fuel Injection,,17.0,157.7,5700.0,213.0,4500.0,73.0,9,8808.990212233099,14.32593670194884,13.671514442523348,14.129081044381579,13.375784367637182,1239,35,4881,123.04362998271013,79280.91191009789,0.0964525993883792,1946738.0112471085,280738.0112471087
352d85df-e118-4587-89a3-4e596dbc5707,bangalore city,2015,sedan,automatic,electric,65011.0,0,[{'img': 'https://images10.gaadi.com/usedcar_image/original/vcc_car_replace_bg_cc079439-2e4e-433f-993f-c9869d5e43a8_1634955_94_1666680075.jpg?imwidth=640'}],10,False,toyota camry hybrid,toyota,toyota camry,hybrid,bangalore,1400000.0,0,dealer,partner,"['power steering', 'power windows front', 'air conditioner', 'heater', 'adjustable head lights', 'fog lights front', 'anti lock braking system', 'brake assist', 'cd player']","['power steering', 'power windows front', 'power windows rear', 'remote trunk opener', 'remote fuel lid opener', 'low fuel warning light', 'accessory power outlet', 'trunk light', 'vanity mirror', 'rear reading lamp', 'rear seat headrest', 'rear seat centre arm rest', 'cup holders front', 'cup holders rear', 'seat lumbar support', 'multifunction steering wheel', 'cruise control', 'rear acvents', 'smart access card entry', 'engine start stop button']","['air conditioner', 'heater', 'adjustable steering', 'digital odometer', 'tachometer', 'electronic multi tripmeter', 'leather seats', 'leather steering wheel', 'glove compartment', 'digital clock', 'cigarette lighter', 'driving experience control eco', 'height adjustable driver seat']","['adjustable head lights', 'fog lights front', 'fog lights rear', 'power adjustable exterior rear view mirror', 'electric folding rear view mirror', 'rain sensing wiper', 'rear window defogger', 'alloy wheels', 'integrated antenna', 'outside rear view mirror turn indicators', 'chrome grille']","['anti lock braking system', 'brake assist', 'centeral locking', 'power door locks', 'child safety locks', 'anti theft alarm', 'driver air bag', 'passenger air bag', 'side air bag front', 'day night rear view mirror', 'passenger side rear view mirror', 'halogen headlamps', 'rear seat belts', 'seat belt warning', 'door ajar warning', 'side impact beams', 'front impact beams', 'vehicle stability control system', 'traction control', 'adjustable seats', 'keyless entry', 'centrally mounted fuel tank', 'engine immobilizer', 'crash sensor', 'automatic head lamps', 'ebd', 'rear camera', 'anti theft device']",grey,2ar-fxe petrol engine,4.0,4.0,dohc,False,False,4850.0,1825.0,1480.0,2775.0,1580.0,1570.0,1635.0,2100.0,6 speed,fwd,5.0,power,5.5,ventilated disc,disc,200.0,10.8,tubeless radial,4.0,436.0,used,karnataka,grey,first,Electronic Fuel Injection,,17.0,157.7,5700.0,213.0,4500.0,73.0,10,6501.093498906502,14.151983508870947,13.671514442523348,14.129081044381579,13.375784367637182,1239,35,4881,136.7151444252335,65010.93498906502,0.0964525993883792,1888281.8757571965,488281.87575719575
bd750f32-8a2f-47a3-bccc-b4edf9db41c8,wanowarie,2021,muv,manual,diesel,13900.0,0,[{'img': 'https://images10.gaadi.com/usedcar_image/original/zz1_crop_img_6415780fb792b_1679128591.jpg?imwidth=640'}],18,False,toyota innova crysta 2.4 vx 8 str,toyota,toyota innova crysta,2.4 vx 8 str,pune,2525000.0,0,dealer,partner,"['power steering', 'power windows front', 'air conditioner', 'heater', 'adjustable head lights', 'fog lights front', 'anti lock braking system', 'brake assist', 'cd player']","['power steering', 'power windows front', 'power windows rear', 'low fuel warning light', 'accessory power outlet', 'trunk light', 'vanity mirror', 'rear reading lamp', 'rear seat headrest', 'rear seat centre arm rest', 'height adjustable front seat belts', 'cup holders front', 'cup holders rear', 'seat lumbar support', 'multifunction steering wheel', 'cruise control', 'rear acvents', 'navigation system', 'smart access card entry', 'engine start stop button', 'glove box cooling', 'drive modes', 'adjustable headrest', 'power boot']","['air conditioner', 'heater', 'adjustable steering', 'digital odometer', 'tachometer', 'electronic multi tripmeter', 'fabric upholstery', 'leather steering wheel', 'glove compartment', 'digital clock', 'outside temperature display', 'driving experience control eco', 'height adjustable driver seat', 'leather wrap gear shift selector']","['adjustable head lights', 'fog lights front', 'fog lights rear', 'power adjustable exterior rear view mirror', 'electric folding rear view mirror', 'rear window wiper', 'rear window defogger', 'alloy wheels', 'integrated antenna', 'rear spoiler', 'outside rear view mirror turn indicators', 'chrome grille', 'chrome garnish', 'ledheadlights', 'ledfog lamps', 'projector headlamps', 'halogen headlamps']","['anti lock braking system', 'brake assist', 'centeral locking', 'power door locks', 'child safety locks', 'anti theft alarm', 'driver air bag', 'passenger air bag', 'passenger side rear view mirror', 'halogen headlamps', 'rear seat belts', 'seat belt warning', 'door ajar warning', 'side impact beams', 'front impact beams', 'vehicle stability control system', 'adjustable seats', 'keyless entry', 'centrally mounted fuel tank', 'engine immobilizer', 'engine check warning', 'crash sensor', 'automatic head lamps', 'ebd', 'anti theft device', 'speed sensing auto door lock', 'knee airbags', 'isofix child seat mounts', 'pretensioners and force limiter seatbelts', 'hill assist', 'impact sensing auto door lock', 'no of airbags']",maroon,2.4l diesel engine,4.0,4.0,dohc,True,True,4735.0,1830.0,1795.0,2750.0,1540.0,1540.0,1885.0,2500.0,5 speed,rwd,8.0,power,5.4,disc,drum,168.56,13.2,tubeless radial,5.0,300.0,used,maharashtra,maroon,first,Common Rail Injection,,16.0,148.0,3400.0,343.0,2100.0,73.0,4,3474.991312521719,14.741752016731123,13.671514442523348,14.418070317319135,13.088104300808027,1239,256,4821,54.68605777009339,13899.965250086876,0.07851458885941645,2213498.679377724,311501.320622277
f50fb18f-1681-4b9a-a39a-722bb66900c4,tilak nagar east,2020,muv,automatic,petrol,28000.0,0,[{'img': 'https://images10.gaadi.com/usedcar_image/original/used_car_2727191_1679044968.jpg?imwidth=640'}],28,False,toyota vellfire executive lounge,toyota,toyota vellfire,executive lounge,new delhi,4871999.999999935,0,dealer,partner,"['power steering', 'power windows front', 'air conditioner', 'heater', 'adjustable head lights', 'fog lights front', 'anti lock braking system', 'brake assist', 'radio']","['power steering', 'power windows front', 'power windows rear', 'air quality control', 'remote trunk opener', 'remote fuel lid opener', 'low fuel warning light', 'accessory power outlet', 'trunk light', 'vanity mirror', 'rear reading lamp', 'rear seat headrest', 'rear seat centre arm rest', 'height adjustable front seat belts', 'cup holders front', 'cup holders rear', 'seat lumbar support', 'multifunction steering wheel', 'rear acvents', 'navigation system', 'smart access card entry', 'engine start stop button', 'glove box cooling', 'voice control', 'tailgate ajar', 'battery saver', 'adjustable headrest', 'power boot', 'power folding3rd row seat']","['air conditioner', 'heater', 'adjustable steering', 'digital odometer', 'tachometer', 'electronic multi tripmeter', 'leather seats', 'leather steering wheel', 'glove compartment', 'digital clock', 'cigarette lighter', 'rear folding table', 'driving experience control eco', 'height adjustable driver seat', 'dual tone dashboard', 'leather wrap gear shift selector']","['adjustable head lights', 'fog lights front', 'power adjustable exterior rear view mirror', 'electric folding rear view mirror', 'alloy wheels', 'integrated antenna', 'sun roof', 'moon roof', 'side stepper', 'outside rear view mirror turn indicators', 'chrome grille', 'chrome garnish', 'automatic driving lights', 'heated wing mirror', 'leddrls', 'ledheadlights', 'ledtaillights', 'ledfog lamps', 'cornering headlamps', 'cornering foglamps']","['anti lock braking system', 'brake assist', 'centeral locking', 'power door locks', 'child safety locks', 'anti theft alarm', 'driver air bag', 'passenger air bag', 'side air bag front', 'side air bag rear', 'passenger side rear view mirror', 'rear seat belts', 'seat belt warning', 'door ajar warning', 'side impact beams', 'front impact beams', 'vehicle stability control system', 'adjustable seats', 'keyless entry', 'engine immobilizer', 'engine check warning', 'tyre pressure monitor', 'crash sensor', 'automatic head lamps', 'ebd', 'rear camera', 'anti theft device', 'anti pinch power windows', 'speed sensing auto door lock', 'knee airbags', 'isofix child seat mounts', 'pretensioners and force limiter seatbelts', 'hill assist', 'impact sensing auto door lock', 'no of airbags', 'eletronic stability control']",black,gasoline hybrid and e-four,4.0,4.0,,False,False,4935.0,1850.0,1895.0,3000.0,1485.0,1493.0,2075.0,2815.0,,4wd,7.0,power,5.1,disc,drum,168.56,13.2,tubeless radial,5.0,350.0,used,delhi,black,first,Direct Injection,,17.0,115.32,4700.0,198.0,3400.0,73.0,5,5599.9888000224,15.399015293626352,13.671514442523348,14.020930838073172,13.327129113968489,1239,3,4969,68.35757221261674,27999.944000112002,0.05557590361445783,4334040.011631537,537959.9883684013
43d9a675-9454-4a41-b2bc-5377c574b5a3,r t nagar,2022,muv,automatic,petrol,12000.0,1,[{'img': 'https://images10.gaadi.com/usedcar_image/original/used_car_2693724_1676109410.jpg?imwidth=640'}],21,False,toyota vellfire executive lounge,toyota,toyota vellfire,executive lounge,bangalore,4871999.999999935,0,dealer,partner,"['power steering', 'power windows front', 'air conditioner', 'heater', 'adjustable head lights', 'fog lights front', 'anti lock braking system', 'brake assist', 'radio']","['power steering', 'power windows front', 'power windows rear', 'air quality control', 'remote trunk opener', 'remote fuel lid opener', 'low fuel warning light', 'accessory power outlet', 'trunk light', 'vanity mirror', 'rear reading lamp', 'rear seat headrest', 'rear seat centre arm rest', 'height adjustable front seat belts', 'cup holders front', 'cup holders rear', 'seat lumbar support', 'multifunction steering wheel', 'rear acvents', 'navigation system', 'smart access card entry', 'engine start stop button', 'glove box cooling', 'voice control', 'tailgate ajar', 'battery saver', 'adjustable headrest', 'power boot', 'power folding3rd row seat']","['air conditioner', 'heater', 'adjustable steering', 'digital odometer', 'tachometer', 'electronic multi tripmeter', 'leather seats', 'leather steering wheel', 'glove compartment', 'digital clock', 'cigarette lighter', 'rear folding table', 'driving experience control eco', 'height adjustable driver seat', 'dual tone dashboard', 'leather wrap gear shift selector']","['adjustable head lights', 'fog lights front', 'power adjustable exterior rear view mirror', 'electric folding rear view mirror', 'alloy wheels', 'integrated antenna', 'sun roof', 'moon roof', 'side stepper', 'outside rear view mirror turn indicators', 'chrome grille', 'chrome garnish', 'automatic driving lights', 'heated wing mirror', 'leddrls', 'ledheadlights', 'ledtaillights', 'ledfog lamps', 'cornering headlamps', 'cornering foglamps']","['anti lock braking system', 'brake assist', 'centeral locking', 'power door locks', 'child safety locks', 'anti theft alarm', 'driver air bag', 'passenger air bag', 'side air bag front', 'side air bag rear', 'passenger side rear view mirror', 'rear seat belts', 'seat belt warning', 'door ajar warning', 'side impact beams', 'front impact beams', 'vehicle stability control system', 'adjustable seats', 'keyless entry', 'engine immobilizer', 'engine check warning', 'tyre pressure monitor', 'crash sensor', 'automatic head lamps', 'ebd', 'rear camera', 'anti theft device', 'anti pinch power windows', 'speed sensing auto door lock', 'knee airbags', 'isofix child seat mounts', 'pretensioners and force limiter seatbelts', 'hill assist', 'impact sensing auto door lock', 'no of airbags', 'eletronic stability control']",white,gasoline hybrid and e-four,4.0,4.0,,False,False,4935.0,1850.0,1895.0,3000.0,1485.0,1493.0,2075.0,2815.0,,4wd,7.0,power,5.1,disc,drum,168.56,13.2,tubeless radial,5.0,350.0,used,karnataka,white,first,Direct Injection,,17.0,115.32,4700.0,198.0,3400.0,73.0,3,3999.986666711111,15.399015293626352,13.671514442523348,14.020930838073172,13.375784367637182,1239,3,4881,41.014543327570046,11999.960000133333,0.05557590361445783,4605586.630869128,266413.3691308107
fe98217b-0dcd-4fd1-9942-1a08c7ec9a05,hyderabad,2017,muv,manual,diesel,33628.0,0,[{'img': 'https://images10.gaadi.com/usedcar_image/original/vcc_1710843_94_1678620862.jpg?imwidth=640'}],22,False,toyota innova crysta 2.4 vx mt bsiv,toyota,toyota innova crysta,2.4 vx mt bsiv,hyderabad,1500000.0,0,dealer,partner,"['power steering', 'power windows front', 'air conditioner', 'heater', 'adjustable head lights', 'fog lights front', 'anti lock braking system', 'brake assist', 'cd player']","['power steering', 'power windows front', 'power windows rear', 'remote trunk opener', 'remote fuel lid opener', 'low fuel warning light', 'accessory power outlet', 'trunk light', 'vanity mirror', 'rear reading lamp', 'rear seat headrest', 'rear seat centre arm rest', 'height adjustable front seat belts', 'cup holders front', 'cup holders rear', 'multifunction steering wheel', 'rear acvents', 'navigation system', 'smart access card entry', 'engine start stop button', 'glove box cooling', 'voice control']","['air conditioner', 'heater', 'adjustable steering', 'digital odometer', 'tachometer', 'electronic multi tripmeter', 'fabric upholstery', 'leather steering wheel', 'glove compartment', 'digital clock', 'outside temperature display', 'rear folding table', 'driving experience control eco', 'height adjustable driver seat']","['adjustable head lights', 'fog lights front', 'fog lights rear', 'power adjustable exterior rear view mirror', 'electric folding rear view mirror', 'rear window wiper', 'rear window washer', 'rear window defogger', 'alloy wheels', 'integrated antenna', 'rear spoiler', 'outside rear view mirror turn indicators', 'chrome grille', 'chrome garnish', 'halogen headlamps']","['anti lock braking system', 'brake assist', 'centeral locking', 'power door locks', 'child safety locks', 'driver air bag', 'passenger air bag', 'passenger side rear view mirror', 'halogen headlamps', 'rear seat belts', 'seat belt warning', 'door ajar warning', 'side impact beams', 'front impact beams', 'adjustable seats', 'centrally mounted fuel tank', 'engine immobilizer', 'engine check warning', 'crash sensor', 'automatic head lamps', 'ebd', 'anti theft device', 'speed sensing auto door lock', 'isofix child seat mounts', 'pretensioners and force limiter seatbelts', 'impact sensing auto door lock']",white,2-gd ftv engine,7.0,4.0,dohc,True,True,4735.0,1830.0,1795.0,2750.0,1540.0,1540.0,1820.0,2430.0,5 speed,rwd,7.0,power,5.4,disc,drum,168.56,13.2,tubeless radial,5.0,300.0,used,telangana,white,first,Direct Injection,,16.0,147.8,3400.0,343.0,2100.0,3.62,8,4203.494745631569,14.220976332738882,13.671514442523348,14.418070317319135,13.314639926660107,1239,256,1298,109.37211554018678,33627.95796505255,0.08120879120879121,1915576.3062052713,415576.3062052727
ea07e2b3-da9f-4866-8d4b-c806c5befd29,adugodi,2020,muv,automatic,diesel,33000.0,0,[{'img': 'https://images10.gaadi.com/usedcar_image/original/used_car_2719184_1678264072.jpg?imwidth=640'}],24,False,kia carnival prestige,kia,kia carnival,prestige,bangalore,2799000.0,0,dealer,partner,"['power steering', 'power windows front', 'air conditioner', 'heater', 'adjustable head lights', 'fog lights front', 'anti lock braking system', 'brake assist', 'radio']","['power steering', 'power windows front', 'power windows rear', 'remote trunk opener', 'low fuel warning light', 'accessory power outlet', 'trunk light', 'vanity mirror', 'rear reading lamp', 'rear seat headrest', 'height adjustable front seat belts', 'cup holders front', 'cup holders rear', 'seat lumbar support', 'multifunction steering wheel', 'cruise control', 'smart access card entry', 'engine start stop button', 'voice control', 'adjustable headrest', 'power boot', 'hands free tailgate']","['air conditioner', 'heater', 'adjustable steering', 'digital odometer', 'tachometer', 'electronic multi tripmeter', 'leather seats', 'glove compartment', 'digital clock', 'height adjustable driver seat', 'dual tone dashboard']","['adjustable head lights', 'fog lights front', 'power adjustable exterior rear view mirror', 'electric folding rear view mirror', 'rear window wiper', 'rear window washer', 'rear window defogger', 'alloy wheels', 'integrated antenna', 'tinted glass', 'rear spoiler', 'sun roof', 'moon roof', 'outside rear view mirror turn indicators', 'chrome grille', 'chrome garnish', 'roof rail', 'ledheadlights', 'ledtaillights', 'ledfog lamps', 'projector headlamps']","['anti lock braking system', 'brake assist', 'centeral locking', 'power door locks', 'child safety locks', 'driver air bag', 'passenger air bag', 'side air bag front', 'day night rear view mirror', 'passenger side rear view mirror', 'seat belt warning', 'door ajar warning', 'adjustable seats', 'keyless entry', 'engine immobilizer', 'engine check warning', 'crash sensor', 'automatic head lamps', 'ebd', 'rear camera', 'anti pinch power windows', 'speed sensing auto door lock', 'isofix child seat mounts', 'pretensioners and force limiter seatbelts', 'hill assist', 'no of airbags', 'eletronic stability control']",white,d2.2l vgt diesel,4.0,4.0,,True,True,5115.0,1985.0,1755.0,3060.0,1485.0,1493.0,1066.0,1595.0,8 speed,2wd,7.0,unknown,5.1,disc,disc,168.56,13.2,tubeless radial,5.0,540.0,used,karnataka,white,first,Common Rail Injection,,18.0,197.26,3800.0,440.0,2250.0,73.0,5,6599.9868000264005,14.844773125767981,14.123989387412678,14.633723807842316,13.375784367637182,729,24,4881,70.61994693706339,32999.934000132,0.185046904315197,3198607.7783268564,399607.77832685504
2ad4a1be-3136-418a-9006-5a4f5c315932,,2014,muv,manual,diesel,150000.0,0,[{'img': 'https://stimg2.cardekho.com/images/usedcarimages/large/3-2023/3640623/d9a0de06-8728-41e2-9d94-9cf2fa3320e3.jpg'}],3,False,toyota innova 2.5 z diesel 7 seater bs iv,toyota,toyota innova,2.5 z diesel 7 seater bs iv,ramanagara,1100000.0,0,individual,partner,"['power steering', 'power windows front', 'air conditioner', 'heater', 'fog lights front', 'power adjustable exterior rear view mirror', 'anti lock braking system', 'power door locks', 'cd player']","['power steering', 'power windows front', 'power windows rear', 'air quality control', 'low fuel warning light', 'accessory power outlet', 'vanity mirror', 'rear seat headrest', 'multifunction steering wheel', 'rear acvents']","['air conditioner', 'heater', 'adjustable steering', 'tachometer', 'electronic multi tripmeter', 'leather seats', 'leather steering wheel', 'glove compartment', 'digital clock', 'cigarette lighter', 'height adjustable driver seat']","['fog lights front', 'power adjustable exterior rear view mirror', 'rear window wiper', 'rear window defogger', 'alloy wheels', 'integrated antenna', 'rear spoiler', 'outside rear view mirror turn indicators', 'chrome grille', 'chrome garnish']","['anti lock braking system', 'power door locks', 'driver air bag', 'passenger air bag', 'passenger side rear view mirror', 'halogen headlamps', 'rear seat belts', 'seat belt warning', 'door ajar warning', 'adjustable seats', 'keyless entry', 'centrally mounted fuel tank', 'engine immobilizer']",silver,2kd-ftv diesel engine,4.0,4.0,dohc,True,True,4585.0,1765.0,1760.0,2750.0,1510.0,1510.0,1700.0,2300.0,5 speed,fwd,7.0,power,5.4,ventilated disc,drum,168.56,13.2,tubeless radial,5.0,350.0,used,karnataka,silver,third,Common Rail Injection,,15.0,100.6,3600.0,200.0,2400.0,73.0,11,13636.351239680693,13.910821646859095,13.671514442523348,13.28942084232261,13.175242066000134,1239,256,3,150.38665886775684,149999.86363648763,0.05917647058823529,750182.3273633466,349817.6726366532
fc54d510-3451-4f79-a478-57adb067feff,pune city,2017,muv,automatic,diesel,59415.0,0,[{'img': 'https://images10.gaadi.com/usedcar_image/original/zz1_crop_img_64118beab0219_1678871530.jpg?imwidth=640'}],21,False,toyota innova crysta 2.8 gx at 8s bsiv,toyota,toyota innova crysta,2.8 gx at 8s bsiv,pune,1500000.0,0,dealer,partner,"['power steering', 'power windows front', 'air conditioner', 'heater', 'adjustable head lights', 'power adjustable exterior rear view mirror', 'anti lock braking system', 'brake assist', 'cd player']","['power steering', 'power windows front', 'power windows rear', 'remote trunk opener', 'remote fuel lid opener', 'low fuel warning light', 'accessory power outlet', 'trunk light', 'vanity mirror', 'rear reading lamp', 'rear seat headrest', 'rear seat centre arm rest', 'height adjustable front seat belts', 'cup holders front', 'cup holders rear', 'multifunction steering wheel', 'rear acvents', 'glove box cooling']","['air conditioner', 'heater', 'adjustable steering', 'digital odometer', 'tachometer', 'electronic multi tripmeter', 'fabric upholstery', 'glove compartment', 'digital clock', 'outside temperature display', 'driving experience control eco', 'height adjustable driver seat']","['adjustable head lights', 'power adjustable exterior rear view mirror', 'electric folding rear view mirror', 'rear window wiper', 'rear window washer', 'rear window defogger', 'alloy wheels', 'integrated antenna', 'rear spoiler', 'outside rear view mirror turn indicators', 'halogen headlamps']","['anti lock braking system', 'brake assist', 'centeral locking', 'power door locks', 'child safety locks', 'driver air bag', 'passenger air bag', 'passenger side rear view mirror', 'halogen headlamps', 'rear seat belts', 'seat belt warning', 'door ajar warning', 'side impact beams', 'front impact beams', 'adjustable seats', 'centrally mounted fuel tank', 'engine immobilizer', 'engine check warning', 'crash sensor', 'ebd', 'anti theft device', 'speed sensing auto door lock', 'isofix child seat mounts', 'pretensioners and force limiter seatbelts', 'impact sensing auto door lock', 'no of airbags']",grey,1-gd ftv engine,4.0,4.0,dohc,True,True,4735.0,1830.0,1795.0,2750.0,1540.0,1540.0,1835.0,2480.0,6 speed,rwd,8.0,power,5.4,disc,drum,168.56,13.2,tubeless radial,5.0,350.0,used,maharashtra,grey,first,Direct Injection,,16.0,171.5,3400.0,360.0,2300.0,3.62,8,7426.865716417855,14.220976332738882,13.671514442523348,14.418070317319135,13.088104300808027,1239,256,4821,109.37211554018678,59414.92573134284,0.09346049046321526,1782976.3083969671,282976.3083969685
6f8d74b8-444f-4d4d-9a9c-d449a068cfb3,new delhi g.p.o.,2017,muv,automatic,diesel,30496.0,0,[{'img': 'https://images10.gaadi.com/usedcar_image/original/spyne_vcc_car_replace_bg_4a6a697c-3a4d-481d-90fb-0197971071b3_1705521_116_1677908868.jpg?imwidth=640'}],35,True,toyota innova crysta 2.8 gx at bsiv,toyota,toyota innova crysta,2.8 gx at bsiv,new delhi,1500000.0,0,dealer,partner,"['power steering', 'power windows front', 'air conditioner', 'heater', 'adjustable head lights', 'power adjustable exterior rear view mirror', 'anti lock braking system', 'brake assist', 'cd player']","['power steering', 'power windows front', 'power windows rear', 'remote trunk opener', 'remote fuel lid opener', 'low fuel warning light', 'accessory power outlet', 'trunk light', 'vanity mirror', 'rear reading lamp', 'rear seat headrest', 'rear seat centre arm rest', 'height adjustable front seat belts', 'cup holders front', 'cup holders rear', 'multifunction steering wheel', 'rear acvents', 'glove box cooling']","['air conditioner', 'heater', 'adjustable steering', 'digital odometer', 'tachometer', 'electronic multi tripmeter', 'fabric upholstery', 'glove compartment', 'digital clock', 'outside temperature display', 'driving experience control eco', 'height adjustable driver seat']","['adjustable head lights', 'power adjustable exterior rear view mirror', 'electric folding rear view mirror', 'rear window wiper', 'rear window washer', 'rear window defogger', 'alloy wheels', 'integrated antenna', 'rear spoiler', 'outside rear view mirror turn indicators', 'halogen headlamps']","['anti lock braking system', 'brake assist', 'centeral locking', 'power door locks', 'child safety locks', 'driver air bag', 'passenger air bag', 'passenger side rear view mirror', 'halogen headlamps', 'rear seat belts', 'seat belt warning', 'door ajar warning', 'side impact beams', 'front impact beams', 'adjustable seats', 'keyless entry', 'centrally mounted fuel tank', 'engine immobilizer', 'engine check warning', 'crash sensor', 'ebd', 'anti theft device', 'speed sensing auto door lock', 'isofix child seat mounts', 'pretensioners and force limiter seatbelts', 'impact sensing auto door lock', 'no of airbags']",silver,1-gd ftv engine,4.0,4.0,dohc,True,True,4735.0,1830.0,1795.0,2750.0,1540.0,1540.0,1830.0,2450.0,6 speed,rwd,7.0,power,5.4,disc,drum,168.56,13.2,tubeless radial,5.0,350.0,used,delhi,silver,first,Direct Injection,,16.0,171.5,3400.0,360.0,2300.0,3.62,8,3811.9952350059566,14.220976332738882,13.671514442523348,14.418070317319135,13.327129113968489,1239,256,4969,109.37211554018678,30495.961880047653,0.09371584699453551,1776715.453019184,276715.45301918546
