usedcarskuid,loc,myear,body,transmission,fuel,km,ip,images,imgcount,threesixty,dvn,oem,model,variant,city,listed_price,discountvalue,utype,cartype,top_features,comfort_features,interior_features,exterior_features,safety_features,color,engine type,no of cylinder,valves per cylinder,valve configuration,turbo charger,super charger,length,width,height,wheel base,front tread,rear tread,kerb weight,gross weight,gear box,drive type,seats,steering type,turning radius,front brake type,rear brake type,top speed,acceleration,tyre type,doors,cargo volume,model_type_new,state,exterior_color,owner_type,fuel suppy system,compression ratio,alloy wheel size,ground clearance unladen,max power delivered,max power at,max torque delivered,max torque at,bore,stroke
7111bf25-97af-47f9-867b-40879190d800,gomti nagar,2016,hatchback,manual,cng,69162.0,0,[{'img': 'https://images10.gaadi.com/usedcar_image/original/usedcar_0_734841676968137_1676968151.jpeg?imwidth=640'}],15,False,maruti wagon r lxi cng,maruti,maruti wagon r,lxi cng,lucknow,370000.0,0,dealer,corporate,"['power steering', 'power windows front', 'air conditioner', 'heater', 'adjustable head lights', 'manually adjustable exterior rear view mirror', 'centeral locking', 'child safety locks', 'number of speaker']","['power steering', 'power windows front', 'remote trunk opener', 'remote fuel lid opener', 'low fuel warning light', 'accessory power outlet', 'rear seat headrest', 'cup holders front']","['air conditioner', 'heater', 'digital odometer', 'electronic multi tripmeter', 'fabric upholstery', 'glove compartment', 'dual tone dashboard']","['adjustable head lights', 'manually adjustable exterior rear view mirror', 'power antenna', 'chrome grille', 'chrome garnish', 'roof rail']","['centeral locking', 'child safety locks', 'day night rear view mirror', 'passenger side rear view mirror', 'halogen headlamps', 'rear seat belts', 'seat belt warning', 'side impact beams', 'front impact beams', 'adjustable seats', 'centrally mounted fuel tank', 'engine immobilizer', 'engine check warning', 'anti theft device']",silver,k10b engine,3.0,4.0,dohc,False,False,3599.0,1495.0,1700.0,2400.0,1295.0,1290.0,960.0,1350.0,5 speed,fwd,5.0,power,4.6,ventilated disc,drum,137.0,15.9,tubeless,5.0,180.0,used,uttar pradesh,silver,first,,,,,58.16,6200.0,77.0,3500.0,69.0,
c309efc1-efaf-4f82-81ad-dcb38eb36665,borivali west,2015,hatchback,manual,cng,45864.0,0,[{'img': 'https://images10.gaadi.com/usedcar_image/original/usedcar_0_734821676699597_1676699611.jpeg?imwidth=640'}],15,False,maruti celerio green vxi,maruti,maruti celerio,green vxi,mumbai,365000.0,0,dealer,corporate,"['power steering', 'power windows front', 'air conditioner', 'heater', 'adjustable head lights', 'manually adjustable exterior rear view mirror', 'centeral locking', 'child safety locks']","['power steering', 'power windows front', 'power windows rear', 'remote trunk opener', 'remote fuel lid opener', 'low fuel warning light', 'accessory power outlet', 'vanity mirror', 'rear seat headrest', 'cup holders front']","['air conditioner', 'heater', 'digital odometer', 'electronic multi tripmeter', 'fabric upholstery', 'glove compartment', 'digital clock']","['adjustable head lights', 'manually adjustable exterior rear view mirror', 'wheel covers', 'power antenna', 'chrome grille']","['centeral locking', 'child safety locks', 'day night rear view mirror', 'passenger side rear view mirror', 'halogen headlamps', 'rear seat belts', 'door ajar warning', 'side impact beams', 'front impact beams', 'adjustable seats', 'centrally mounted fuel tank', 'engine immobilizer', 'anti theft device']",grey,k10b engine,3.0,4.0,dohc,False,False,3600.0,1600.0,1560.0,2425.0,1420.0,1410.0,915.0,1350.0,5 speed,fwd,5.0,power,4.7,ventilated disc,drum,150.0,15.05,tubeless radial,5.0,235.0,used,maharashtra,grey,first,Gasoline Port Injection,11.0,,,58.2,6000.0,78.0,3500.0,73.0,
7609f710-0c97-4f00-9a47-9b9284b62d3a,jasola,2015,sedan,manual,cng,81506.0,0,[{'img': 'https://images10.gaadi.com/usedcar_image/original/usedcar_1_734851676630138_1676630151.jpg?imwidth=640'}],15,False,honda amaze s plus i-vtec,honda,honda amaze,s plus i-vtec,new delhi,421000.0,0,dealer,corporate,"['power steering', 'power windows front', 'air conditioner', 'heater', 'adjustable head lights', 'power adjustable exterior rear view mirror', 'centeral locking', 'power door locks', 'radio']","['power steering', 'power windows front', 'power windows rear', 'remote trunk opener', 'remote fuel lid opener', 'low fuel warning light', 'accessory power outlet', 'trunk light', 'vanity mirror', 'rear reading lamp', 'rear seat headrest', 'rear seat centre arm rest', 'cup holders front', 'cup holders rear', 'multifunction steering wheel']","['air conditioner', 'heater', 'adjustable steering', 'digital odometer', 'tachometer', 'electronic multi tripmeter', 'fabric upholstery', 'glove compartment', 'digital clock', 'driving experience control eco', 'height adjustable driver seat']","['adjustable head lights', 'power adjustable exterior rear view mirror', 'wheel covers', 'power antenna', 'chrome grille']","['centeral locking', 'power door locks', 'child safety locks', 'day night rear view mirror', 'passenger side rear view mirror', 'halogen headlamps', 'rear seat belts', 'seat belt warning', 'door ajar warning', 'side impact beams', 'front impact beams', 'adjustable seats', 'keyless entry', 'centrally mounted fuel tank', 'engine immobilizer', 'anti theft device']",silver,i-vtec petrol engine,4.0,4.0,sohc,False,False,3990.0,1680.0,1505.0,2405.0,,,950.0,,5 speed,fwd,5.0,power,4.5,disc,drum,160.0,15.0,tubeless radial,4.0,400.0,used,delhi,silver,second,,,,,86.7,6000.0,109.0,4500.0,,
278b76e3-5539-4a5e-ae3e-353a2e3b6d7d,jasola,2013,hatchback,manual,cng,115893.0,0,[{'img': ''}],0,False,maruti wagon r lxi cng,maruti,maruti wagon r,lxi cng,new delhi,240000.0,0,dealer,corporate,"['power steering', 'power windows front', 'air conditioner', 'heater', 'adjustable head lights', 'manually adjustable exterior rear view mirror', 'centeral locking', 'child safety locks']","['power steering', 'power windows front', 'low fuel warning light', 'rear seat headrest', 'cup holders front']","['air conditioner', 'heater', 'electronic multi tripmeter', 'fabric upholstery', 'glove compartment']","['adjustable head lights', 'manually adjustable exterior rear view mirror', 'integrated antenna', 'tinted glass']","['centeral locking', 'child safety locks', 'day night rear view mirror', 'passenger side rear view mirror', 'halogen headlamps', 'rear seat belts', 'seat belt warning', 'side impact beams', 'adjustable seats', 'centrally mounted fuel tank', 'engine immobilizer']",silver,k series petrol engine,3.0,4.0,,False,False,3595.0,1475.0,1700.0,2400.0,1295.0,1290.0,960.0,1350.0,5 speed,fwd,5.0,power,4.6,ventilated disc,drum,,,tubeless radial,4.0,,used,delhi,silver,second,Multi-Point Fuel Injection,,13.0,,58.2,6200.0,77.0,3500.0,,
b1eab99b-a606-48dd-a75b-57feb8a9ad92,mumbai g.p.o.,2022,muv,manual,cng,18900.0,0,[{'img': 'https://images10.gaadi.com/usedcar_image/original/usedcar_c8692cee_5fe9_4390_bc42_b8d8b797c503_2728669_1679139586.jpg?imwidth=640'}],6,False,maruti ertiga vxi cng,maruti,maruti ertiga,vxi cng,mumbai,1175000.0,0,dealer,partner,"['power steering', 'power windows front', 'air conditioner', 'heater', 'adjustable head lights', 'power adjustable exterior rear view mirror', 'anti lock braking system', 'brake assist', 'radio']","['power steering', 'power windows front', 'power windows rear', 'accessory power outlet', 'vanity mirror', 'rear reading lamp', 'rear seat headrest', 'rear seat centre arm rest', 'cup holders front', 'seat lumbar support', 'multifunction steering wheel', 'rear acvents', 'gear shift indicator', 'adjustable headrest']","['air conditioner', 'heater', 'adjustable steering', 'tachometer', 'electronic multi tripmeter', 'fabric upholstery', 'glove compartment', 'digital clock', 'dual tone dashboard']","['adjustable head lights', 'power adjustable exterior rear view mirror', 'electric folding rear view mirror', 'wheel covers', 'power antenna', 'outside rear view mirror turn indicators', 'chrome grille', 'chrome garnish', 'ledtaillights', 'projector headlamps', 'halogen headlamps']","['anti lock braking system', 'brake assist', 'centeral locking', 'power door locks', 'child safety locks', 'anti theft alarm', 'driver air bag', 'passenger air bag', 'day night rear view mirror', 'passenger side rear view mirror', 'halogen headlamps', 'rear seat belts', 'seat belt warning', 'door ajar warning', 'adjustable seats', 'keyless entry', 'engine immobilizer', 'crash sensor', 'ebd', 'anti pinch power windows', 'speed sensing auto door lock', 'isofix child seat mounts', 'pretensioners and force limiter seatbelts', 'hill assist', 'speed alert', 'no of airbags', 'eletronic stability control']",white,k15c,4.0,4.0,,True,True,4395.0,1735.0,1690.0,2740.0,,,1250.0,1820.0,5 speed,2wd,7.0,,5.2,disc,drum,,,tubeless radial,5.0,,used,maharashtra,white,first,,12.0,,,86.63,5500.0,121.5,4200.0,,
e030b70c-56b9-44b7-8b40-919fa92b6bbc,bengali market,2012,hatchback,manual,cng,60000.0,0,[{'img': 'https://images10.gaadi.com/usedcar_image/original/used_car_2728666_1679139511.jpg?imwidth=640'}],17,False,maruti wagon r lxi cng,maruti,maruti wagon r,lxi cng,new delhi,250000.0,0,dealer,partner,"['power steering', 'power windows front', 'air conditioner', 'heater', 'adjustable head lights', 'manually adjustable exterior rear view mirror', 'centeral locking', 'child safety locks', 'number of speaker']","['power steering', 'power windows front', 'remote trunk opener', 'remote fuel lid opener', 'low fuel warning light', 'accessory power outlet', 'rear seat headrest', 'cup holders front']","['air conditioner', 'heater', 'digital odometer', 'electronic multi tripmeter', 'fabric upholstery', 'glove compartment', 'dual tone dashboard']","['adjustable head lights', 'manually adjustable exterior rear view mirror', 'power antenna', 'chrome grille', 'chrome garnish', 'roof rail']","['centeral locking', 'child safety locks', 'day night rear view mirror', 'passenger side rear view mirror', 'halogen headlamps', 'rear seat belts', 'seat belt warning', 'side impact beams', 'front impact beams', 'adjustable seats', 'centrally mounted fuel tank', 'engine immobilizer', 'engine check warning', 'anti theft device']",white,k10b engine,3.0,4.0,dohc,False,False,3599.0,1495.0,1700.0,2400.0,1295.0,1290.0,960.0,1350.0,5 speed,fwd,5.0,power,4.6,ventilated disc,drum,137.0,15.9,tubeless,5.0,180.0,used,delhi,white,first,,,,,58.16,6200.0,77.0,3500.0,69.0,
6ca9c00f-b755-44e0-8680-a2d033346630,bengali market,2010,hatchback,manual,cng,67000.0,0,[{'img': 'https://images10.gaadi.com/usedcar_image/original/used_car_2728651_1679139237.jpg?imwidth=640'}],12,False,maruti alto green lxi (cng),maruti,maruti alto,green lxi (cng),new delhi,145000.0,0,dealer,partner,"['power steering', 'remote fuel lid opener', 'air conditioner', 'heater', 'adjustable head lights', 'manually adjustable exterior rear view mirror', 'power door locks', 'passenger side rear view mirror', 'usb auxiliary input']","['power steering', 'remote fuel lid opener', 'low fuel warning light', 'vanity mirror', 'rear seat headrest', 'cup holders front']","['air conditioner', 'heater', 'electronic multi tripmeter', 'glove compartment']","['adjustable head lights', 'manually adjustable exterior rear view mirror', 'wheel covers', 'integrated antenna', 'tinted glass']","['power door locks', 'passenger side rear view mirror', 'halogen headlamps', 'rear seat belts', 'side impact beams', 'front impact beams', 'engine check warning']",blue,in line engine,3.0,4.0,sohc,False,False,3495.0,1475.0,1460.0,2360.0,1295.0,1290.0,705.0,1140.0,5 speed,2wd,5.0,power,4.6,disc,drum,137.0,18.2,tubeless radial,5.0,,used,delhi,blue,first,,,12.0,,38.4,6200.0,62.0,3000.0,68.5,
27f36089-ecf1-415d-9401-f90e83813585,preet vihar,2017,hatchback,manual,cng,58000.0,0,[{'img': 'https://images10.gaadi.com/usedcar_image/original/used_car_2728636_1679138921.png?imwidth=640'}],1,False,hyundai grand i10 1.2 kappa magna cng bsiv,hyundai,hyundai grand i10,1.2 kappa magna cng bsiv,new delhi,465000.0,0,dealer,partner,"['power steering', 'power windows front', 'air conditioner', 'heater', 'adjustable head lights', 'power adjustable exterior rear view mirror', 'anti lock braking system', 'centeral locking', 'speakers front']","['power steering', 'power windows front', 'power windows rear', 'low fuel warning light', 'accessory power outlet', 'vanity mirror', 'rear seat headrest', 'cup holders front', 'multifunction steering wheel', 'rear acvents', 'tailgate ajar', 'gear shift indicator', 'battery saver']","['air conditioner', 'heater', 'digital odometer', 'tachometer', 'electronic multi tripmeter', 'fabric upholstery', 'glove compartment', 'digital clock']","['adjustable head lights', 'power adjustable exterior rear view mirror', 'wheel covers', 'integrated antenna', 'tinted glass', 'chrome grille', 'roof rail', 'halogen headlamps']","['anti lock braking system', 'centeral locking', 'power door locks', 'child safety locks', 'driver air bag', 'passenger air bag', 'day night rear view mirror', 'passenger side rear view mirror', 'halogen headlamps', 'rear seat belts', 'seat belt warning', 'door ajar warning', 'side impact beams', 'front impact beams', 'adjustable seats', 'keyless entry', 'centrally mounted fuel tank', 'engine immobilizer', 'engine check warning', 'crash sensor', 'ebd', 'anti theft device', 'no of airbags']",grey,kappa vtvt petrol engine,4.0,4.0,dohc,False,False,3765.0,1660.0,1520.0,2425.0,1479.0,1493.0,,,5 speed,fwd,5.0,power,4.8,disc,drum,165.0,12.9,tubeless,5.0,256.0,used,delhi,grey,first,Multi-Point Fuel Injection,,,,65.39,6000.0,98.0,4000.0,,
4ebf53b7-8910-43c3-947c-4feb145cb9c7,dundahera,2021,hatchback,manual,cng,54097.0,0,[{'img': 'https://images10.gaadi.com/usedcar_image/original/used_car_2728417_1679129736.jpg?imwidth=640'}],17,False,maruti wagon r cng lxi,maruti,maruti wagon r,cng lxi,gurgaon,560000.0,0,dealer,partner,"['power steering', 'power windows front', 'air conditioner', 'heater', 'adjustable head lights', 'manually adjustable exterior rear view mirror', 'anti lock braking system', 'centeral locking']","['power steering', 'power windows front', 'low fuel warning light', 'accessory power outlet', 'rear seat headrest', 'cup holders front', 'gear shift indicator']","['air conditioner', 'heater', 'digital odometer', 'electronic multi tripmeter', 'fabric upholstery', 'glove compartment', 'dual tone dashboard']","['adjustable head lights', 'manually adjustable exterior rear view mirror', 'power antenna', 'halogen headlamps']","['anti lock braking system', 'centeral locking', 'child safety locks', 'driver air bag', 'passenger side rear view mirror', 'halogen headlamps', 'rear seat belts', 'seat belt warning', 'door ajar warning', 'side impact beams', 'front impact beams', 'adjustable seats', 'centrally mounted fuel tank', 'engine immobilizer', 'engine check warning', 'crash sensor', 'ebd', 'anti theft device', 'speed alert', 'no of airbags']",silver,k10b petrol engine,3.0,4.0,dohc,False,False,3655.0,1620.0,1675.0,2435.0,,,905.0,1340.0,5 speed,fwd,5.0,power,4.7,disc,drum,,18.6,tubeless radial,5.0,341.0,used,haryana,silver,first,Multi-Point Fuel Injection,,,,58.33,5500.0,78.0,3500.0,73.0,
5bb9f635-15d6-46bd-8042-11204140d44b,bengali market,2011,hatchback,manual,cng,67000.0,0,[{'img': 'https://images10.gaadi.com/usedcar_image/original/used_car_2728381_1679127712.jpg?imwidth=640'}],7,False,maruti wagon r lxi cng,maruti,maruti wagon r,lxi cng,new delhi,215000.0,0,dealer,partner,"['power steering', 'power windows front', 'air conditioner', 'heater', 'adjustable head lights', 'manually adjustable exterior rear view mirror', 'centeral locking', 'child safety locks', 'number of speaker']","['power steering', 'power windows front', 'remote trunk opener', 'remote fuel lid opener', 'low fuel warning light', 'accessory power outlet', 'rear seat headrest', 'cup holders front']","['air conditioner', 'heater', 'digital odometer', 'electronic multi tripmeter', 'fabric upholstery', 'glove compartment', 'dual tone dashboard']","['adjustable head lights', 'manually adjustable exterior rear view mirror', 'power antenna', 'chrome grille', 'chrome garnish', 'roof rail']","['centeral locking', 'child safety locks', 'day night rear view mirror', 'passenger side rear view mirror', 'halogen headlamps', 'rear seat belts', 'seat belt warning', 'side impact beams', 'front impact beams', 'adjustable seats', 'centrally mounted fuel tank', 'engine immobilizer', 'engine check warning', 'anti theft device']",silver,k10b engine,3.0,4.0,dohc,False,False,3599.0,1495.0,1700.0,2400.0,1295.0,1290.0,960.0,1350.0,5 speed,fwd,5.0,power,4.6,ventilated disc,drum,137.0,15.9,tubeless,5.0,180.0,used,delhi,silver,second,,,,,58.16,6200.0,77.0,3500.0,69.0,
b324264a-60ba-42c7-8faa-097ab0fa9864,pune city,2018,hatchback,manual,cng,98083.0,0,[{'img': 'https://images10.gaadi.com/usedcar_image/original/vcc_1712828_94_1679030531.jpg?imwidth=640'}],22,False,maruti celerio vxi cng optional bsiv,maruti,maruti celerio,vxi cng optional bsiv,pune,425000.0,0,dealer,partner,"['power steering', 'power windows front', 'air conditioner', 'heater', 'adjustable head lights', 'manually adjustable exterior rear view mirror', 'anti lock braking system', 'centeral locking']","['power steering', 'power windows front', 'power windows rear', 'remote trunk opener', 'remote fuel lid opener', 'low fuel warning light', 'accessory power outlet', 'vanity mirror', 'rear seat headrest', 'cup holders front']","['air conditioner', 'heater', 'digital odometer', 'electronic multi tripmeter', 'fabric upholstery', 'glove compartment', 'digital clock']","['adjustable head lights', 'manually adjustable exterior rear view mirror', 'wheel covers', 'power antenna', 'chrome grille', 'halogen headlamps']","['anti lock braking system', 'centeral locking', 'child safety locks', 'driver air bag', 'passenger air bag', 'passenger side rear view mirror', 'halogen headlamps', 'rear seat belts', 'seat belt warning', 'door ajar warning', 'side impact beams', 'front impact beams', 'adjustable seats', 'centrally mounted fuel tank', 'engine immobilizer', 'engine check warning', 'crash sensor', 'anti theft device', 'pretensioners and force limiter seatbelts', 'no of airbags']",silky silver,k10b engine,3.0,4.0,dohc,False,False,3695.0,1600.0,1560.0,2425.0,1420.0,1410.0,925.0,1350.0,5 speed,fwd,5.0,power,4.7,ventilated disc,drum,150.0,15.05,tubeless radial,5.0,235.0,used,maharashtra,silky silver,first,Gasoline Port Injection,11.0,,,58.33,6000.0,78.0,3500.0,73.0,
fa28f05d-ea6d-4d09-9f19-5363a4d5d125,,2019,hatchback,manual,cng,80000.0,0,[{'img': 'https://stimg2.cardekho.com/images/usedcarimages/large/3-2023/3653659/20210522_141131.jpg'}],6,False,maruti celerio vxi cng bsiv,maruti,maruti celerio,vxi cng bsiv,agra,380000.0,0,individual,partner,"['power steering', 'power windows front', 'air conditioner', 'heater', 'adjustable head lights', 'manually adjustable exterior rear view mirror', 'anti lock braking system', 'centeral locking']","['power steering', 'power windows front', 'power windows rear', 'remote trunk opener', 'remote fuel lid opener', 'low fuel warning light', 'accessory power outlet', 'vanity mirror', 'rear seat headrest', 'cup holders front']","['air conditioner', 'heater', 'digital odometer', 'electronic multi tripmeter', 'fabric upholstery', 'glove compartment', 'digital clock']","['adjustable head lights', 'manually adjustable exterior rear view mirror', 'wheel covers', 'power antenna', 'chrome grille', 'halogen headlamps']","['anti lock braking system', 'centeral locking', 'child safety locks', 'driver air bag', 'passenger side rear view mirror', 'halogen headlamps', 'rear seat belts', 'seat belt warning', 'door ajar warning', 'side impact beams', 'front impact beams', 'adjustable seats', 'centrally mounted fuel tank', 'engine immobilizer', 'engine check warning', 'crash sensor', 'anti theft device', 'no of airbags']",white,k10b engine,3.0,4.0,dohc,False,False,3695.0,1600.0,1560.0,2425.0,1420.0,1410.0,920.0,1350.0,5 speed,fwd,5.0,power,4.7,ventilated disc,drum,150.0,15.05,tubeless radial,5.0,235.0,used,uttar pradesh,white,first,Gasoline Port Injection,11.0,,,58.33,6000.0,78.0,3500.0,73.0,
5423e926-5d82-4ffe-8473-9d2e200bb6a4,bandra west,2017,muv,manual,cng,39000.0,0,[{'img': 'https://images10.gaadi.com/usedcar_image/original/zz1_crop_img_64158359d05ac_1679131481.jpg?imwidth=640'}],14,False,maruti ertiga vxi cng,maruti,maruti ertiga,vxi cng,mumbai,795000.0,0,dealer,partner,"['power steering', 'power windows front', 'air conditioner', 'heater', 'adjustable head lights', 'fog lights front', 'anti lock braking system', 'brake assist', 'cd player']","['power steering', 'power windows front', 'power windows rear', 'remote fuel lid opener', 'low fuel warning light', 'accessory power outlet', 'trunk light', 'vanity mirror', 'rear reading lamp', 'rear seat headrest', 'rear seat centre arm rest', 'height adjustable front seat belts', 'cup holders front', 'multifunction steering wheel', 'rear acvents']","['air conditioner', 'heater', 'digital odometer', 'tachometer', 'electronic multi tripmeter', 'fabric upholstery', 'glove compartment', 'digital clock']","['adjustable head lights', 'fog lights front', 'power adjustable exterior rear view mirror', 'electric folding rear view mirror', 'wheel covers', 'power antenna', 'outside rear view mirror turn indicators', 'chrome grille', 'chrome garnish']","['anti lock braking system', 'brake assist', 'centeral locking', 'power door locks', 'child safety locks', 'anti theft alarm', 'driver air bag', 'passenger air bag', 'day night rear view mirror', 'passenger side rear view mirror', 'halogen headlamps', 'rear seat belts', 'seat belt warning', 'door ajar warning', 'side impact beams', 'front impact beams', 'adjustable seats', 'keyless entry', 'centrally mounted fuel tank', 'engine check warning', 'crash sensor', 'ebd', 'anti theft device', 'pretensioners and force limiter seatbelts']",silver,k14b petrol engine,4.0,4.0,dohc,False,False,4296.0,1695.0,1685.0,2740.0,1480.0,1490.0,1255.0,,5 speed,fwd,7.0,power,5.2,ventilated disc,drum,164.0,13.0,tubeless radial,5.0,135.0,used,maharashtra,silver,first,Multi-Point Fuel Injection,11.0,,,80.46,6000.0,112.0,4000.0,73.0,
ad459b4e-5e3d-4eac-9d3a-4fa39682be5d,pune city,2014,hatchback,manual,cng,34889.0,0,[{'img': 'https://images10.gaadi.com/usedcar_image/original/vcc_1712768_94_1679027858.jpg?imwidth=640'}],26,False,maruti wagon r lxi cng,maruti,maruti wagon r,lxi cng,pune,350000.0,0,dealer,partner,"['power steering', 'power windows front', 'air conditioner', 'heater', 'adjustable head lights', 'manually adjustable exterior rear view mirror', 'centeral locking', 'child safety locks', 'number of speaker']","['power steering', 'power windows front', 'remote trunk opener', 'remote fuel lid opener', 'low fuel warning light', 'accessory power outlet', 'rear seat headrest', 'cup holders front']","['air conditioner', 'heater', 'digital odometer', 'electronic multi tripmeter', 'fabric upholstery', 'glove compartment', 'dual tone dashboard']","['adjustable head lights', 'manually adjustable exterior rear view mirror', 'power antenna', 'chrome grille', 'chrome garnish', 'roof rail']","['centeral locking', 'child safety locks', 'day night rear view mirror', 'passenger side rear view mirror', 'halogen headlamps', 'rear seat belts', 'seat belt warning', 'side impact beams', 'front impact beams', 'adjustable seats', 'centrally mounted fuel tank', 'engine immobilizer', 'engine check warning', 'anti theft device']",bakers chocolate,k10b engine,3.0,4.0,dohc,False,False,3599.0,1495.0,1700.0,2400.0,1295.0,1290.0,960.0,1350.0,5 speed,fwd,5.0,power,4.6,ventilated disc,drum,137.0,15.9,tubeless,5.0,180.0,used,maharashtra,bakers chocolate,first,,,,,58.16,6200.0,77.0,3500.0,69.0,
27f1507d-5edc-4a4d-ae0e-3a70edc1c40e,new delhi g.p.o.,2022,hatchback,manual,cng,31758.0,0,[{'img': 'https://images10.gaadi.com/usedcar_image/original/vcc_1712930_94_1679033961.jpg?imwidth=640'}],21,False,maruti wagon r cng lxi opt,maruti,maruti wagon r,cng lxi opt,new delhi,650000.0,0,dealer,partner,"['power steering', 'power windows front', 'air conditioner', 'heater', 'adjustable head lights', 'manually adjustable exterior rear view mirror', 'anti lock braking system', 'centeral locking']","['power steering', 'power windows front', 'low fuel warning light', 'accessory power outlet', 'rear seat headrest', 'cup holders front', 'gear shift indicator']","['air conditioner', 'heater', 'digital odometer', 'electronic multi tripmeter', 'fabric upholstery', 'glove compartment', 'dual tone dashboard']","['adjustable head lights', 'manually adjustable exterior rear view mirror', 'halogen headlamps']","['anti lock braking system', 'centeral locking', 'child safety locks', 'driver air bag', 'passenger air bag', 'passenger side rear view mirror', 'halogen headlamps', 'rear seat belts', 'seat belt warning', 'door ajar warning', 'side impact beams', 'front impact beams', 'adjustable seats', 'centrally mounted fuel tank', 'engine immobilizer', 'engine check warning', 'crash sensor', 'ebd', 'anti theft device', 'pretensioners and force limiter seatbelts', 'speed alert', 'no of airbags']",silky silver,k10b petrol engine,3.0,4.0,dohc,False,False,3655.0,1620.0,1675.0,2435.0,,,905.0,1340.0,5 speed,fwd,5.0,power,4.7,disc,drum,,18.6,tubeless,5.0,341.0,used,delhi,silky silver,first,Multi-Point Fuel Injection,,,,58.33,5500.0,78.0,3500.0,73.0,
39b598ca-7b0b-41e4-9e4b-513b0f169d6d,mohan nagar,2021,hatchback,manual,cng,23000.0,0,[{'img': 'https://images10.gaadi.com/usedcar_image/original/used_car_2728199_1679119998.jpg?imwidth=640'}],17,False,maruti wagon r lxi cng,maruti,maruti wagon r,lxi cng,ghaziabad,599000.0,0,dealer,partner,"['power steering', 'power windows front', 'air conditioner', 'heater', 'adjustable head lights', 'manually adjustable exterior rear view mirror', 'centeral locking', 'child safety locks', 'number of speaker']","['power steering', 'power windows front', 'remote trunk opener', 'remote fuel lid opener', 'low fuel warning light', 'accessory power outlet', 'rear seat headrest', 'cup holders front']","['air conditioner', 'heater', 'digital odometer', 'electronic multi tripmeter', 'fabric upholstery', 'glove compartment', 'dual tone dashboard']","['adjustable head lights', 'manually adjustable exterior rear view mirror', 'power antenna', 'chrome grille', 'chrome garnish', 'roof rail']","['centeral locking', 'child safety locks', 'day night rear view mirror', 'passenger side rear view mirror', 'halogen headlamps', 'rear seat belts', 'seat belt warning', 'side impact beams', 'front impact beams', 'adjustable seats', 'centrally mounted fuel tank', 'engine immobilizer', 'engine check warning', 'anti theft device']",white,k10b engine,3.0,4.0,dohc,False,False,3599.0,1495.0,1700.0,2400.0,1295.0,1290.0,960.0,1350.0,5 speed,fwd,5.0,power,4.6,ventilated disc,drum,137.0,15.9,tubeless,5.0,180.0,used,uttar pradesh,white,first,,,,,58.16,6200.0,77.0,3500.0,69.0,
0dcbf585-0ad0-4803-9e9e-2e624ce84b20,bengali market,2014,hatchback,manual,cng,60000.0,0,[{'img': 'https://images10.gaadi.com/usedcar_image/original/used_car_2728189_1679119138.jpg?imwidth=640'}],9,False,hyundai grand i10 asta cng,hyundai,hyundai grand i10,asta cng,new delhi,425000.0,0,dealer,partner,"['power steering', 'power windows front', 'air conditioner', 'heater', 'adjustable head lights', 'fog lights front', 'centeral locking', 'power door locks', 'cd player']","['power steering', 'power windows front', 'power windows rear', 'remote trunk opener', 'remote fuel lid opener', 'low fuel warning light', 'accessory power outlet', 'trunk light', 'vanity mirror', 'rear seat headrest', 'cup holders front', 'multifunction steering wheel', 'rear acvents', 'smart access card entry', 'engine start stop button', 'glove box cooling']","['air conditioner', 'heater', 'adjustable steering', 'digital odometer', 'tachometer', 'electronic multi tripmeter', 'fabric upholstery', 'leather steering wheel', 'glove compartment', 'digital clock', 'height adjustable driver seat']","['adjustable head lights', 'fog lights front', 'power adjustable exterior rear view mirror', 'electric folding rear view mirror', 'rear window wiper', 'rear window washer', 'rear window defogger', 'alloy wheels', 'power antenna', 'tinted glass', 'rear spoiler', 'outside rear view mirror turn indicators', 'chrome grille', 'roof rail']","['centeral locking', 'power door locks', 'child safety locks', 'anti theft alarm', 'day night rear view mirror', 'passenger side rear view mirror', 'halogen headlamps', 'rear seat belts', 'seat belt warning', 'door ajar warning', 'side impact beams', 'front impact beams', 'adjustable seats', 'keyless entry', 'centrally mounted fuel tank', 'engine immobilizer', 'anti theft device']",white,kappa vtvt petrol engine,4.0,4.0,dohc,False,False,3765.0,1660.0,1520.0,2425.0,1479.0,1493.0,935.0,,5 speed,fwd,5.0,power,4.8,disc,drum,165.0,12.9,tubeless,5.0,256.0,used,delhi,white,second,Distributor-Type Fuel Injection,,14.0,,82.0,6000.0,114.0,4000.0,,
